EXCHANGE_ACCOUNT_ID,SENT_INDIRECT_EXPOSURE,SENT_DIRECT_EXPOSURE,RECEIVED_INDIRECT_EXPOSURE,RECEIVED_DIRECT_EXPOSURE,cluster_category,cluster_name
10761,0,0,11.7,0,category_12,service_106
15755,12.7,0,0,0,category_1,service_128
10761,0,0,31.31,0,category_1,service_22
15235,0,0,40.95,0,category_1,service_67
10761,124.2,0,1045.95,0,category_1,service_1
9827,468.4,8.23,4351.1,622.11,category_1,service_11
10761,25.64,0,18.87,0,category_1,service_129
12215,0,0,38.17,0,category_2,service_8
15235,0,0,440.64,0,category_6,service_18
12215,0,0,28.49,0,category_6,service_18
10761,14.72,0,0,0,category_2,service_130
10761,0,0,8.2,0,category_11,service_131
12947,0,0,2458.95,0,category_1,service_100
12215,0,0,110.93,0,category_1,service_132
15755,334.81,0,0,0,category_7,service_80
15235,0,0,103.03,0,category_7,service_68
15755,0,0,103.28,0,category_5,service_133
10761,0,0,0.92,0,category_1,service_134
15755,976.94,0,46.7,0,category_2,service_3
10761,0,0,2,0,category_5,service_135
14195,206.83,0,0,0,category_4,service_86
12947,0,0,455.52,0,category_1,service_87
12215,274.36,0,0,0,category_1,service_129
8617,151948.96,139689.85,138678.51,129038.18,category_1,service_89
15755,7.94,0,0,0,category_7,service_137
10761,132.05,0,350.39,0,category_1,service_128
15235,0,0,25.91,0,category_1,service_138
15755,1885.3,0,479.55,0,category_1,service_38
10761,0,0,3.19,0,category_1,service_139
11569,226.85,0,0,0,category_1,service_11
12215,0,0,8.59,0,category_1,service_5
14195,0,0,84541.47,84541.47,category_1,service_11
15755,0,0,173.97,0,category_1,service_5
15755,0,0,18.45,0,category_9,service_140
15235,0,0,12199.29,0,category_1,service_1
12215,0,0,7.66,0,category_9,service_141
10761,48.53,0,905.73,0,category_1,service_87
9827,3.65,0,0,0,category_11,service_70
9827,4.53,0,0,0,category_12,service_106
12947,0,0,1456.32,0,category_1,service_103
15755,0,0,8213.29,0,category_1,service_89
10761,2.02,0,10.09,0,category_2,service_142
10761,1.11,0,0,0,category_1,service_143
15755,0,0,39.51,0,category_1,service_144
10761,6.33,0,0,0,category_1,service_34
15755,502.96,0,0,0,category_1,service_145
12947,0,0,696.13,0,category_1,service_7
12215,0,0,33.53,0,category_8,service_146
10761,0,0,12.93,0,category_4,service_147
15235,0,0,125.69,0,category_1,service_103
15755,83.27,0,0,0,category_6,service_148
10761,16.6,0,626.36,0,category_1,service_28
12215,0,0,195.54,0,category_1,service_149
14195,21.01,0,0,0,category_1,service_53
10761,0,0,70.08,0,category_1,service_123
14195,246.48,0,0,0,category_8,service_48
12947,24180.89,23572.08,30087.15,23326.68,category_1,service_53
9827,42428.15,40616.64,63403.71,63184.19,category_1,service_50
15755,13080.87,263.3,100.19,0,category_4,service_41
12215,21948.07,21946.39,308908.36,298555.99,category_1,service_53
12215,5281.63,5281.63,2137.09,0,category_1,service_100
10761,1.05,0,2.16,0,category_1,service_116
10761,0,0,3.19,0,category_1,service_150
10761,0,0,1.07,0,category_1,service_85
15235,0,0,18896.84,13831.12,category_1,service_7
12947,0,0,156.61,0,category_6,service_18
15755,0,0,131.1,0,category_1,service_66
9827,0,0,5.92,0,category_1,service_2
14195,1528.02,0,0,0,category_1,service_46
15755,0,0,30.33,0,category_5,service_151
10761,0,0,3.32,0,category_1,service_138
14195,2137.33,0,0,0,category_6,service_20
10761,4.97,0,0,0,category_1,service_57
15235,0,0,95.23,0,category_1,service_5
10761,135.73,0,1439.95,0,category_6,service_18
15235,0,0,32641.18,0,category_1,service_89
10761,33.11,0,8.56,0,category_1,service_73
14195,1698.54,0,0,0,category_6,service_148
10761,0,0,12.06,0,category_7,service_21
12215,0,0,328.64,0,category_1,service_128
15755,0,0,5.53,0,category_5,service_152
12215,2251.41,0,13163.52,13088.09,category_1,service_2
10761,0,0,1.95,0,category_1,service_153
10761,45.07,0,1135.21,0,category_1,service_50
10761,0,0,4.59,0,category_1,service_101
15235,146690.12,146690.12,200215,188817.85,category_1,service_53
15755,0,0,12.8,0,category_1,service_25
15235,0,0,2450.34,2450.34,category_1,service_154
14195,167.34,0,0,0,category_2,service_155
10761,0,0,17.51,0,category_1,service_156
9827,4.22,0,0,0,category_7,service_121
10761,0,0,4.77,0,category_1,service_157
10761,0,0,5.57,0,category_1,service_27
10761,4.25,0,1.54,0,category_6,service_148
21331,4480.73,0,0,0,category_1,service_10
10761,0,0,1.75,0,category_2,service_155
10761,0,0,11.99,0,category_1,service_158
9827,0,0,130.3,0,category_6,service_148
10761,0,0,6.29,0,category_2,service_61
10761,0,0,17.76,0,category_9,service_159
10761,1.86,0,594.5,0,category_1,service_38
10761,4.01,0,1.98,0,category_4,service_160
9827,0,0,8.16,0,category_4,service_161
12947,28.43,0,0,0,category_7,service_80
10761,2.87,0,0,0,category_8,service_162
10761,0,0,672.52,0,category_1,service_37
12215,0,0,8.99,0,category_5,service_135
10761,0,0,47.35,0,category_1,service_113
10761,3.25,0,2.31,0,category_1,service_163
12947,0,0,1566.17,0,category_1,service_11
9827,0.34,0,0,0,category_1,service_1
15235,0,0,15.06,0,category_4,service_41
12947,0,0,29.93,0,category_12,service_106
10761,0,0,1.36,0,category_4,service_164
9827,0.87,0,0,0,category_8,service_165
12947,8.56,0,0,0,category_1,service_124
12215,0,0,314.44,0,category_1,service_166
15235,0,0,7.18,0,category_2,service_8
12215,19.5,0,0,0,category_1,service_138
15755,0,0,11.85,0,category_4,service_167
15755,0,0,12.73,0,category_1,service_103
12947,0,0,17.07,0,category_8,service_168
15755,62.08,0,546.02,0,category_1,service_50
14195,24.06,0,0,0,category_4,service_169
12215,0,0,1882.05,0,category_1,service_29
15755,0,0,247.48,0,category_1,service_163
15235,0,0,93.85,0,category_4,service_169
14195,141.49,0,0,0,category_8,service_170
10761,0,0,1.07,0,category_4,service_171
10761,98.8,0,6904.71,0,category_1,service_11
14195,118.73,0,0,0,category_1,service_7
9827,0,0,4477.84,0.16,category_1,service_103
10761,94.43,0,0,0,category_8,service_126
15755,0,0,49.54,0,category_11,service_131
15755,3097.24,0,1811.42,0,category_1,service_53
12947,6665.64,6650.07,0,0,category_1,service_66
10761,1.25,0,0,0,category_11,service_172
10761,0,0,1.54,0,category_4,service_173
15755,11.97,0,431.5,0,category_1,service_51
11569,18721.52,0,0,0,category_4,service_169
10761,0,0,2.68,0,category_13,service_174
10761,3.51,0,0,0,category_3,service_175
12947,0,0,279.57,0,category_1,service_129
10761,0,0,1026.71,0,category_1,service_53
12797,0,0,22.29,0,category_1,service_38
12797,0,0,1508.72,0,category_1,service_2
6349,0,0,1162.92,0,category_1,service_29
17193,454.63,0,0,0,category_6,service_18
14151,10131,8.65,10628.78,8.65,category_1,service_28
7605,127.52,0,6.59,0,category_1,service_51
6349,0,0,15.87,0,category_1,service_178
17193,0,0,7.67,0,category_1,service_179
7605,0,0,80.77,0,category_7,service_80
7605,795.55,0,238.44,0,category_6,service_18
14151,42160.48,42160.48,0,0,category_1,service_180
11227,0,0,77.64,0,category_1,service_181
12797,0,0,4149.95,0,category_1,service_89
17193,0,0,251.13,0,category_1,service_79
12797,0,0,4.47,0,category_1,service_85
5765,51.49,0,0,0,category_7,service_182
21575,37451.31,35646.44,14708.41,14516.46,category_1,service_2
11227,0,0,1521.4,0,category_1,service_53
21575,0,0,2785.98,0,category_1,service_178
17193,0,0,471.2,471.2,category_1,service_89
7605,547.93,0,34.91,0,category_1,service_9
13565,0,0,10543.02,0,category_1,service_11
6349,0,0,232.82,0,category_1,service_183
5765,0,0,61.16,0,category_1,service_10
5765,0,0,26.15,0,category_7,service_80
12797,0,0,146.21,0,category_1,service_184
6349,0,0,534.75,0,category_8,service_185
17193,151.83,0,0,0,category_1,service_187
6349,0,0,89.92,0,category_1,service_13
15525,0,0,731.59,0,category_6,service_18
5765,0,0,181.92,0,category_1,service_188
17193,19.06,0,9587.7,0,category_1,service_50
6349,0,0,9163.22,0,category_6,service_18
5765,257.77,0,134.61,0,category_1,service_38
5765,29889.71,0,5901.94,0,category_1,service_11
6349,0,0,35.21,0,category_9,service_189
6349,0,0,7.06,0,category_1,service_166
15525,0,0,159033.12,127749.34,category_1,service_53
6349,0,0,592.47,0,category_1,service_79
12797,0,0,528.98,0,category_4,service_192
12797,37.06,0,8.33,0,category_1,service_90
14151,46851.55,46851.55,66364.49,66364.49,category_1,service_7
6349,0,0,26.39,0,category_5,service_133
5765,897.56,0,283.09,0,category_1,service_7
6349,0,0,25.29,0,category_1,service_193
17193,14.53,0,1544.87,0,category_1,service_1
5765,867.52,0,1562.13,0,category_1,service_50
12797,0,0,32.62,0,category_1,service_57
21575,0,0,2234.95,0,category_1,service_96
6349,0,0,187.06,0,category_1,service_188
7605,38.48,0,0,0,category_3,service_56
7605,136.94,0,0,0,category_1,service_194
12797,0,0,15.45,0,category_1,service_33
21575,451.5,0,0,0,category_12,service_106
6349,0,0,72.24,0,category_1,service_195
5765,3552.17,0,1017.44,0,category_1,service_53
17193,10.14,0,1337.2,807.03,category_1,service_51
6349,0,0,1.84,0,category_5,service_19
6349,0,0,22.94,0,category_1,service_14
11227,0,0,118873.6,0,category_3,service_44
17193,1313.91,858.73,983.46,968.7,category_1,service_38
12797,0,0,1377.13,0,category_7,service_68
7605,220.81,0,156.24,0,category_3,service_44
12797,0,0,8.87,0,category_1,service_116
15525,0,0,4.53,0,category_2,service_8
11227,0,0,479.78,0,category_1,service_103
17193,0,0,11271.67,11271.67,category_1,service_197
21575,98.88,0,0,0,category_1,service_87
7605,87.95,0,0,0,category_1,service_198
6349,0,0,63.16,0,category_4,service_160
5765,68.22,0,93.59,0,category_2,service_8
6349,0,0,3354.11,0,category_1,service_1
7605,68.9,0,0,0,category_1,service_6
6349,0,0,113.58,0,category_9,service_199
12797,0,0,323.86,0,category_4,service_86
12797,0,0,700.7,0,category_5,service_65
6349,0,0,478.98,0,category_1,service_5
7605,25.65,0,76.53,0,category_1,service_37
21575,1057.75,1057.75,0,0,category_1,service_7
6349,0,0,92.27,0,category_1,service_200
17193,14.77,0,0,0,category_3,service_77
5765,82.61,0,0,0,category_1,service_125
17193,0,0,1842.48,1842.48,category_1,service_201
15525,0,0,3607.97,0,category_1,service_128
17193,12.85,0,0,0,category_1,service_93
6349,0,0,51.61,0,category_2,service_61
6349,121.16,0,0,0,category_2,service_3
6349,0,0,4991.01,0,category_1,service_66
6349,0,0,61.28,0,category_1,service_202
12797,0,0,29.48,0,category_8,service_203
7605,209.05,0,0,0,category_9,service_45
11227,0,0,23.09,0,category_1,service_163
6349,0,0,1572.41,0,category_1,service_128
21575,0,0,68.9,0,category_3,service_77
6349,0,0,460.37,0,category_1,service_24
6349,0,0,492.73,0,category_1,service_89
5765,134.05,0,0,0,category_8,service_115
5765,683.58,0,0,0,category_1,service_33
6349,0,0,20.94,0,category_1,service_143
12797,0,0,4,0,category_1,service_191
17193,0,0,3506.82,3260.91,category_1,service_204
12797,0,0,329.55,0,category_7,service_117
7605,223.69,0,0,0,category_1,service_23
5765,79.14,0,119,0,category_9,service_45
17193,172.74,0,0,0,category_1,service_46
6349,0,0,124.43,0,category_2,service_8
7605,14.72,0,0,0,category_1,service_91
5765,1868.33,0,0,0,category_4,service_41
12797,0,0,52.58,0,category_1,service_5
7605,7233.22,0,16838.88,0,category_1,service_11
6349,0,0,465.21,0,category_9,service_140
21575,40.88,0,0,0,category_7,service_205
15525,0,0,44.44,0,category_2,service_176
6349,0,0,50.55,0,category_1,service_138
21575,172.57,0,0,0,category_4,service_41
12797,0,0,4.73,0,category_7,service_207
6349,0,0,257.91,0,category_1,service_34
5765,0,0,97.47,0,category_3,service_12
5765,93.44,0,0,0,category_4,service_161
21575,50.19,0,0,0,category_6,service_18
5765,10.36,0,0,0,category_1,service_85
6349,0,0,103.82,0,category_1,service_163
6349,0,0,6.52,0,category_1,service_91
5765,2298.19,0,4512.72,0,category_1,service_89
17193,0,0,832.34,810.27,category_1,service_5
5765,3237.39,0,2593.49,0,category_6,service_18
5765,0,0,55.04,0,category_5,service_210
6349,0,0,2485.17,0,category_14,service_211
6349,0,0,229.21,0,category_4,service_86
11227,0,0,291.49,0,category_1,service_28
11227,0,0,441.75,0,category_1,service_7
17193,1524.51,0,0,0,category_6,service_148
5765,326.38,0,26.4,0,category_4,service_86
7605,610.64,0,3271.02,0,category_1,service_50
6349,0,0,2679.35,0,category_1,service_100
17193,520.49,0,0,0,category_1,service_212
12797,0,0,3.58,0,category_1,service_113
21575,8.88,0,0,0,category_7,service_213
14151,0,0,62096.5,62096.5,category_1,service_214
5765,1008.7,0,0,0,category_2,service_3
6349,0,0,14.72,0,category_3,service_215
7605,0,0,63.97,0,category_1,service_33
21575,95.9,0,0,0,category_1,service_187
6349,0,0,16.31,0,category_7,service_80
7605,302.96,0,27.11,0,category_1,service_100
7605,21.8,0,0,0,category_1,service_158
14151,2776.07,2776.07,5415.67,5415.67,category_1,service_1
6349,0,0,972.64,0,category_1,service_217
17193,114.95,0,13666.58,11791.05,category_1,service_218
5765,2054.72,0,0,0,category_1,service_219
7605,129.52,0,94.07,0,category_4,service_41
11227,0,0,18.99,0,category_1,service_1
17193,34.86,0,0,0,category_2,service_155
21575,1946.53,1946.53,49748.51,19227.27,category_1,service_34
7605,0,0,20.33,0,category_5,service_135
6349,0,0,12.91,0,category_1,service_191
12797,0,0,6028.04,0,category_1,service_87
7605,0,0,20.86,0,category_11,service_131
17193,12.66,0,196.63,0,category_4,service_86
21575,23111.55,23090.65,3195.35,0,category_1,service_28
7605,0,0,14.92,0,category_2,service_176
7605,98.69,0,0,0,category_1,service_128
6349,0,0,1673.6,0,category_7,service_68
7605,94.84,0,94.98,0,category_1,service_220
21575,6.12,0,0,0,category_1,service_15
6349,0,0,7.18,0,category_5,service_52
7605,21.79,0,0,0,category_1,service_122
6349,0,0,41.65,0,category_1,service_42
11227,0,0,132982.93,0,category_1,service_38
14151,157.1,0,0,0,category_1,service_11
15525,0,0,1159.21,0,category_1,service_7
12797,3667.87,0,55367.11,0,category_1,service_11
17193,148.68,0,1003.59,0,category_1,service_156
7605,454.8,0,182.1,0,category_1,service_89
5765,56.89,0,0,0,category_1,service_42
5765,12.77,0,0,0,category_1,service_221
17193,0,0,3645.1,644.32,category_1,service_178
6349,0,0,384.27,0,category_7,service_205
11227,0,0,398.95,0,category_1,service_50
6349,592.92,0,20083.55,0,category_9,service_45
5765,660.74,0,0,0,category_1,service_222
7605,0,0,3017.08,0,category_7,service_32
7605,0,0,442.08,0,category_5,service_65
12797,0,0,43.86,0,category_1,service_149
6349,0,0,32.17,0,category_1,service_156
12797,0,0,3244.77,0,category_1,service_66
6349,0,0,53.75,0,category_5,service_223
21575,0,0,100.74,0,category_1,service_144
17193,69.26,0,0,0,category_1,service_13
12797,0,0,63.47,0,category_4,service_160
6349,0,0,34.33,0,category_1,service_71
6349,0,0,61.6,0,category_1,service_224
5765,13.18,0,0,0,category_1,service_191
7605,0,0,7.85,0,category_8,service_126
11227,0,0,347.44,0,category_1,service_66
12797,0,0,89.29,0,category_2,service_61
12797,0,0,130.32,0,category_1,service_101
7605,69.14,0,0,0,category_1,service_186
14151,0,0,5532.46,5532.46,category_1,service_53
6349,0,0,23.49,0,category_1,service_4
17193,0,0,1819.64,415.44,category_6,service_225
21575,0,0,253.49,0,category_4,service_69
12797,0,0,736.56,0,category_6,service_20
6349,0,0,163.58,0,category_3,service_44
7605,2835.76,0,1513.8,0,category_1,service_1
5765,0,0,60.86,0,category_1,service_29
6349,0,0,499.69,0,category_1,service_27
6349,0,0,17.19,0,category_1,service_227
7605,297.42,0,0,0,category_1,service_103
21575,504.24,0,0,0,category_8,service_115
7605,66.21,0,0,0,category_1,service_163
17193,0,0,450.13,450.13,category_1,service_28
11227,0,0,88731.73,0,category_1,service_11
6349,0,0,1549.9,0,category_1,service_228
5765,133.26,0,0,0,category_1,service_186
6349,0,0,11.38,0,category_1,service_229
6349,0,0,6.98,0,category_1,service_230
5765,2654.21,0,359.24,0,category_6,service_20
6349,0,0,18.13,0,category_1,service_231
7605,0,0,29.64,0,category_1,service_42
21575,136.02,0,0,0,category_8,service_170
11227,0,0,13.19,0,category_1,service_10
12797,0,0,15.77,0,category_3,service_232
7605,0,0,63.24,0,category_5,service_17
17193,0,0,3236.64,3236.64,category_1,service_233
7605,0,0,40.76,0,category_1,service_234
7605,0,0,141.92,0,category_7,service_117
14151,26.53,0,0,0,category_2,service_155
6349,0,0,172.18,0,category_1,service_33
7605,0,0,74.1,0,category_1,service_235
6349,0,0,203.34,0,category_1,service_129
5765,52.83,0,0,0,category_7,service_137
11227,0,0,277.59,0,category_10,service_62
11227,0,0,19.64,0,category_1,service_100
21575,17.55,0,6260.8,0,category_2,service_8
5765,0,0,21.13,0,category_8,service_236
7605,1163.9,0,8011.35,6921.55,category_1,service_7
5765,129.18,0,0,0,category_7,service_32
15525,0,0,581559.74,543419.97,category_1,service_1
5765,71.04,0,0,0,category_11,service_131
5765,6057.95,4749.48,92.84,0,category_1,service_87
17193,12.12,0,0,0,category_1,service_90
15525,0,0,12.81,0,category_12,service_106
11227,0,0,68.87,0,category_1,service_195
21575,5.55,0,9253.64,0,category_1,service_89
6349,0,0,10.13,0,category_1,service_237
7605,7329.72,6725.28,1835.55,0,category_1,service_87
6349,0,0,155.77,0,category_6,service_225
21575,58190.06,58190.06,0,0,category_5,service_65
6349,0,0,45.08,0,category_1,service_238
7605,1049.09,0,2775.28,0,category_1,service_28
6349,0,0,9.61,0,category_1,service_149
5765,133.74,0,0,0,category_9,service_239
6349,0,0,56.07,0,category_1,service_240
12797,0,0,80.96,0,category_7,service_121
6349,0,0,305.68,0,category_7,service_121
21575,20.88,0,19844,11271.77,category_1,service_11
6349,0,0,81.15,0,category_1,service_241
11227,0,0,21.86,0,category_1,service_238
7605,179.48,0,12.24,0,category_4,service_81
21575,3546.57,3546.57,0,0,category_1,service_242
17193,0,0,6.31,0,category_1,service_25
7605,0,0,14.12,0,category_4,service_243
5765,90.42,0,0,0,category_12,service_106
7605,323.39,0,6.94,0,category_1,service_2
21575,1010.53,0,26280.6,731.08,category_1,service_53
17193,0,0,1276.7,1276.7,category_1,service_144
7605,42.96,0,0,0,category_2,service_8
6349,0,0,2760.36,0,category_1,service_50
11227,0,0,200.77,0,category_4,service_161
17193,0,0,4430.41,2372.78,category_1,service_245
5765,165.25,0,0,0,category_4,service_81
15525,0,0,48.23,0,category_1,service_2
12797,0,0,97.33,0,category_3,service_44
6349,0,0,943.9,0,category_1,service_75
7605,0,0,342.29,0,category_4,service_86
7605,40.35,0,0,0,category_2,service_246
17193,49.5,0,0,0,category_1,service_14
6349,0,0,13.7,13.7,category_1,service_247
6349,0,0,1215.06,0,category_1,service_2
6349,0,0,2112.75,0,category_8,service_115
6349,0,0,50.9,0,category_4,service_147
6349,0,0,4281.62,0,category_14,service_248
12797,0,0,8.02,0,category_12,service_106
21575,0,0,43607.21,0,category_1,service_218
21575,43.14,0,0,0,category_4,service_173
17193,0,0,39.58,0,category_1,service_6
7605,33.41,0,0,0,category_1,service_157
7605,13.89,0,0,0,category_1,service_144
