ACCOUNT_ID,AMOUNT_nunique_type_1,AMOUNT_nunique_type_2,AMOUNT_nunique_type_3,AMOUNT_nunique_type_4,AMOUNT_nunique_type_5,AMOUNT_sum_type_1,AMOUNT_sum_type_2,AMOUNT_sum_type_3,AMOUNT_sum_type_4,AMOUNT_sum_type_5,CURRENCY_nunique_type_1,CURRENCY_nunique_type_2,CURRENCY_nunique_type_3,CURRENCY_nunique_type_4,CURRENCY_nunique_type_5,CURRENCY_sum_type_1,CURRENCY_sum_type_2,CURRENCY_sum_type_3,CURRENCY_sum_type_4,CURRENCY_sum_type_5
5569,,1.0,,,,,0.288802,,,,,1.0,,,,,currency_2,,,
5571,,2.0,,,,,2.37668,,,,,2.0,,,,,currency_2currency_3,,,
5575,,1.0,,,,,100000.0,,,,,1.0,,,,,currency_1,,,
5577,1.0,,1.0,,,0.45863100000000007,,0.45863100000000007,,,1.0,,1.0,,,currency_2,,currency_2,,
5583,,1.0,,,,,0.7,,,,,1.0,,,,,currency_3,,,
5599,,1.0,,,,,2.0,,,,,1.0,,,,,currency_2currency_2,,,
5609,1.0,,,,,1500.0,,,,,1.0,,,,,currency_1currency_1currency_1,,,,
5611,2.0,1.0,1.0,,,950.0,0.35600000000000004,1500.0,,,1.0,1.0,1.0,,,currency_1currency_1,currency_2,currency_1currency_1currency_1,,
5613,,3.0,,,,,20540.4,,,,,2.0,,,,,currency_2currency_1currency_1,,,
5617,1.0,1.0,,,,500.0,0.039,,,,1.0,1.0,,,,currency_1,currency_2,,,
5621,1.0,1.0,1.0,,,2.499,61.158338,2.499,,,1.0,1.0,1.0,,,currency_2,currency_3,currency_2,,
5623,,1.0,,,,,2.5,,,,,1.0,,,,,currency_2,,,
5627,,1.0,,,,,18622.09,,,,,1.0,,,,,currency_1,,,
5629,1.0,2.0,3.0,,,13.91,400.3,414.31,,,1.0,1.0,2.0,,,currency_2,currency_3currency_3,currency_3currency_3currency_2,,
5631,1.0,,1.0,,,500.0,,1000.0,,,1.0,,1.0,,,currency_1,,currency_1currency_1,,
5633,,1.0,,,,,5233.45,,,,,1.0,,,,,currency_1,,,
5641,1.0,,1.0,,,20.0,,0.057113,,,1.0,,1.0,,,currency_1,,currency_3,,
5645,,2.0,1.0,,,,2.596212,38520.0,,,,1.0,1.0,,,,currency_2currency_2,currency_1,,
5647,,,1.0,,,,,30000.0,,,,,1.0,,,,,currency_1,,
5649,1.0,2.0,1.0,,,1500.0,8.7,1000.0,,,1.0,2.0,1.0,,,currency_1currency_1currency_1,currency_2currency_3,currency_1currency_1,,
5651,,,1.0,,,,,2000.0,,,,,1.0,,,,,currency_1,,
5657,,1.0,,,,,1287.62,,,,,1.0,,,,,currency_1,,,
5661,,1.0,2.0,,,,0.15,500.271423,,,,1.0,2.0,,,,currency_2,currency_1currency_2,,
5663,1.0,1.0,1.0,,,0.12778,994.83,0.12778,,,1.0,1.0,1.0,,,currency_2,currency_1,currency_2,,
5667,1.0,,2.0,,,1500.0,,10000.0,,,1.0,,1.0,,,currency_1currency_1currency_1,,currency_1currency_1currency_1,,
5675,,2.0,2.0,,,,1.085662,12225.0,,,,1.0,1.0,,,,currency_2currency_2,currency_1currency_1,,
5681,1.0,3.0,,,,500.0,23.252655,,,,1.0,2.0,,,,currency_1,currency_2currency_3currency_2,,,
5683,4.0,3.0,2.0,,,950.36,2662.146053,300.36,,,2.0,2.0,2.0,,,currency_2currency_1currency_1currency_1,currency_1currency_1currency_2,currency_1currency_2,,
5689,1.0,,1.0,,,1500.0,,2500.0,,,1.0,,1.0,,,currency_1currency_1currency_1,,currency_1currency_1currency_1currency_1currency_1,,
5695,,3.0,,,,,14526.69,,,,,2.0,,,,,currency_1currency_3currency_1,,,
5701,,,1.0,,,,,37500.0,,,,,1.0,,,,,currency_1,,
5707,,1.0,1.0,,,,0.5991380000000001,9000.0,,,,1.0,1.0,,,,currency_2,currency_1,,
5719,1.0,,,,,1000.0,,,,,1.0,,,,,currency_1currency_1,,,,
5721,,3.0,1.0,,,,0.5289999999999999,500.0,,,,1.0,1.0,,,,currency_2currency_2currency_2,currency_1,,
5723,,2.0,1.0,,,,86.238418,0.015,,,,1.0,1.0,,,,currency_3currency_3,currency_3,,
5727,,,1.0,,,,,25000.0,,,,,1.0,,,,,currency_1,,
5729,,1.0,1.0,,,,135.0,0.027828,,,,1.0,1.0,,,,currency_1,currency_2,,
5733,,,1.0,,,,,500.0,,,,,1.0,,,,,currency_1,,
5739,,3.0,,,,,7.60055,,,,,2.0,,,,,currency_2currency_2currency_3,,,
5743,,,1.0,,,,,25000.0,,,,,1.0,,,,,currency_1,,
5751,1.0,1.0,1.0,,,200.0,0.09,150.0,,,1.0,1.0,1.0,,,currency_1,currency_2,currency_1,,
5755,,2.0,,,,,49.5,,,,,1.0,,,,,currency_3currency_3,,,
5757,1.0,3.0,2.0,,,0.127323,546.831695,500.127323,,,1.0,2.0,2.0,,,currency_2,currency_1currency_2currency_2,currency_2currency_1,,
5765,,3.0,3.0,,,,0.339424,1300.058318,,,,1.0,2.0,,,,currency_2currency_2currency_2,currency_1currency_2currency_2,,
5777,1.0,,1.0,,,500.0,,500.0,,,1.0,,1.0,,,currency_1,,currency_1,,
5779,1.0,3.0,,,,500.0,8.578511,,,,1.0,1.0,,,,currency_1,currency_2currency_2currency_2,,,
5787,,2.0,1.0,,,,2289.32,6.891868,,,,1.0,1.0,,,,currency_1currency_1currency_1currency_1currency_1,currency_3,,
5789,3.0,3.0,2.0,,,0.258628,1137.72,0.24660900000000002,,,1.0,1.0,1.0,,,currency_2currency_2currency_2,currency_1currency_1currency_1,currency_2currency_2,,
5795,1.0,,1.0,,,3.5839999999999996,,3.5839999999999996,,,1.0,,1.0,,,currency_2,,currency_2,,
5801,1.0,2.0,,,,345.0,11.7,,,,1.0,1.0,,,,currency_1,currency_3currency_3,,,
5803,,2.0,1.0,,,,1.212299,4.0,,,,1.0,1.0,,,,currency_2currency_2,currency_2,,
5805,,2.0,4.0,,,,7.505309,50000.096287,,,,2.0,2.0,,,,currency_2currency_3,currency_1currency_2currency_2currency_2,,
5807,,2.0,1.0,,,,3.0,500.0,,,,1.0,1.0,,,,currency_2currency_2,currency_1,,
5817,,2.0,,,,,3000.0,,,,,1.0,,,,,currency_1currency_1,,,
5819,3.0,5.0,4.0,,,501.493827,1.9923430000000002,1301.95346,,,2.0,1.0,2.0,,,currency_1currency_1currency_2,currency_2currency_2currency_2currency_2currency_2currency_2,currency_1currency_1currency_1currency_2currency_2,,
5821,2.0,,3.0,,,0.056396999999999996,,0.08407,,,1.0,,1.0,,,currency_2currency_2,,currency_2currency_2currency_2,,
5827,,2.0,,,,,15.237697,,,,,2.0,,,,,currency_3currency_2,,,
5835,,,1.0,,,,,1000.0,,,,,1.0,,,,,currency_1,,
5843,2.0,1.0,4.0,,,0.510159,0.1399,2.270159,,,1.0,1.0,1.0,,,currency_2currency_2,currency_2,currency_2currency_2currency_2currency_2currency_2,,
5845,1.0,2.0,1.0,,,250.0,2.316092,1000.0,,,1.0,2.0,1.0,,,currency_1,currency_2currency_3,currency_1currency_1,,
5857,,1.0,1.0,,,,3216.94,0.75,,,,1.0,1.0,,,,currency_1,currency_2,,
5859,1.0,3.0,1.0,,,1000.0,0.72,1500.0,,,1.0,1.0,1.0,,,currency_1currency_1,currency_2currency_2currency_2,currency_1currency_1currency_1,,
5861,1.0,1.0,1.0,,,0.096785,403.21,0.096785,,,1.0,1.0,1.0,,,currency_2,currency_1,currency_2,,
5865,1.0,,2.0,,,2000.0,,2019.776652,,,1.0,,2.0,,,currency_1currency_1currency_1currency_1,,currency_1currency_1currency_1currency_1currency_3,,
5869,,1.0,,,,,36.428773,,,,,1.0,,,,,currency_3,,,
5875,,1.0,,,,,0.47393199999999996,,,,,1.0,,,,,currency_2,,,
5881,1.0,,3.0,,,3000.0,,3506.51314,,,1.0,,2.0,,,currency_1currency_1currency_1currency_1currency_1currency_1,,currency_1currency_1currency_1currency_3,,
5889,1.0,1.0,,,,1000.0,9.5,,,,1.0,1.0,,,,currency_1currency_1,currency_3,,,
5895,1.0,2.0,1.0,,,0.019643,1475.118446,0.00025,,,1.0,2.0,1.0,,,currency_2,currency_1currency_2,currency_2,,
5903,1.0,1.0,,,,500.0,0.12297000000000001,,,,1.0,1.0,,,,currency_1,currency_2,,,
5905,1.0,3.0,2.0,,,1.2145,5066.340553999999,15001.2145,,,1.0,3.0,2.0,,,currency_2,currency_3currency_2currency_1,currency_1currency_2,,
5911,1.0,3.0,1.0,,,0.9990000000000001,3501.5,0.9990000000000001,,,1.0,3.0,1.0,,,currency_2,currency_3currency_2currency_1,currency_2,,
5917,,3.0,,,,,2.650543,,,,,1.0,,,,,currency_2currency_2currency_2,,,
5919,,1.0,1.0,,,,5.4,16000.0,,,,1.0,1.0,,,,currency_3,currency_1,,
5921,2.0,2.0,,,,1100.0,0.5669109999999999,,,,1.0,2.0,,,,currency_1currency_1currency_1,currency_2currency_3,,,
5925,1.0,1.0,3.0,,,1.5099,3.0,3.2983170000000004,,,1.0,1.0,1.0,,,currency_2,currency_2,currency_2currency_2currency_2,,
5933,,,1.0,,,,,500.0,,,,,1.0,,,,,currency_1,,
5935,,1.0,,,,,0.56725,,,,,1.0,,,,,currency_2,,,
5953,2.0,4.0,5.0,,,5.058725,29.72,8006.862501,,,1.0,1.0,2.0,,,currency_2currency_2,currency_3currency_3currency_3currency_3,currency_2currency_2currency_1currency_2currency_1,,
5955,,,1.0,,,,,34985.0,,,,,1.0,,,,,currency_1,,
5959,,,1.0,,,,,4.124871,,,,,1.0,,,,,currency_2,,
5967,,1.0,,,,,1.0,,,,,1.0,,,,,currency_2,,,
5969,1.0,1.0,1.0,,,1500.0,1.335919,5700.0,,,1.0,1.0,1.0,,,currency_1currency_1currency_1,currency_2,currency_1,,
5971,3.0,2.0,4.0,,,29.234,55.6,110.232,,,1.0,2.0,1.0,,,currency_2currency_2currency_2,currency_2currency_2currency_3,currency_2currency_2currency_2currency_2,,
5981,,,1.0,,,,,224.17,,,,,1.0,,,,,currency_1,,
5989,,1.0,1.0,,,,16.454848000000002,20000.0,,,,1.0,1.0,,,,currency_3,currency_1,,
5995,4.0,12.0,14.0,,,8.977,363524.92689999996,634.3344450000002,,,1.0,2.0,2.0,,,currency_2currency_2currency_2currency_2,currency_1currency_1currency_1currency_1currency_1currency_2currency_2currency_2currency_2currency_2currency_2currency_1currency_1currency_1,currency_3currency_3currency_3currency_2currency_2currency_2currency_2currency_2currency_2currency_2currency_3currency_2currency_3currency_3,,
5999,1.0,1.0,1.0,,,500.0,0.0345,1000.0,,,1.0,1.0,1.0,,,currency_1,currency_2,currency_1currency_1,,
6001,1.0,,,,,0.071809,,,,,1.0,,,,,currency_2,,,,
6009,,3.0,2.0,,,,413.45820000000003,599000.0,,,,1.0,1.0,,,,currency_3currency_3currency_3,currency_1currency_1,,
6011,,,1.0,,,,,5.999,,,,,1.0,,,,,currency_2,,
6013,1.0,1.0,1.0,,,1.326916,1500.0,1.326916,,,1.0,1.0,1.0,,,currency_2,currency_1,currency_2,,
6019,2.0,2.0,3.0,,,1500.195465,0.193522,2030.3335180000001,,,2.0,1.0,3.0,,,currency_1currency_2currency_1currency_1,currency_2currency_2,currency_1currency_3currency_1currency_2currency_1currency_1,,
6021,,,1.0,,,,,2500.0,,,,,1.0,,,,,currency_1,,
6025,,3.0,1.0,,,,6.95,100000.0,,,,1.0,1.0,,,,currency_2currency_2currency_2,currency_1,,
6027,1.0,2.0,2.0,,,0.241513,1915.244077,1100.241513,,,1.0,2.0,2.0,,,currency_2,currency_2currency_1,currency_1currency_2,,
6029,1.0,3.0,,,,500.0,37.293279999999996,,,,1.0,1.0,,,,currency_1,currency_3currency_3currency_3,,,
6031,,1.0,1.0,,,,90000.0,49.152975,,,,1.0,1.0,,,,currency_1,currency_3,,
6035,,1.0,1.0,,,,0.767913,4500.0,,,,1.0,1.0,,,,currency_2,currency_1,,
6041,1.0,1.0,1.0,,,1000.0,3517.55,500.0,,,1.0,1.0,1.0,,,currency_1currency_1,currency_1,currency_1,,
6043,,1.0,,,,,9100.0,,,,,1.0,,,,,currency_1,,,
6045,,2.0,1.0,,,,101.499683,112200.0,,,,2.0,1.0,,,,currency_2currency_3,currency_1,,
6053,,,1.0,,,,,1000.0,,,,,1.0,,,,,currency_1currency_1,,
6059,1.0,12.0,8.0,,,2.2088,92.61475,126.99359999999999,,,1.0,2.0,2.0,,,currency_2,currency_2currency_2currency_2currency_2currency_2currency_3currency_2currency_3currency_2currency_2currency_2currency_3,currency_3currency_3currency_3currency_2currency_2currency_3currency_3currency_3,,
6065,,3.0,,,,,2.1724,,,,,1.0,,,,,currency_2currency_2currency_2,,,
6069,1.0,1.0,2.0,,,0.840491,0.0935,15.633063,,,1.0,1.0,2.0,,,currency_2,currency_2,currency_2currency_3,,
6071,,,1.0,,,,,500.0,,,,,1.0,,,,,currency_1,,
6075,,,1.0,,,,,1000.0,,,,,1.0,,,,,currency_1currency_1,,
6081,,2.0,,,,,44.418864,,,,,1.0,,,,,currency_3currency_3,,,
6085,3.0,4.0,11.0,,,0.07253899999999999,1426.1418549999999,0.261346,,,1.0,2.0,1.0,,,currency_2currency_2currency_2,currency_2currency_1currency_1currency_2,currency_2currency_2currency_2currency_2currency_2currency_2currency_2currency_2currency_2currency_2currency_2,,
6087,2.0,4.0,2.0,,,501.999,5004.749,2.4889,,,2.0,2.0,1.0,,,currency_1currency_2,currency_2currency_2currency_1currency_2,currency_2currency_2,,
6089,1.0,1.0,2.0,,,1000.0,1.15,9750.0,,,1.0,1.0,1.0,,,currency_1currency_1,currency_2,currency_1currency_1,,
6097,3.0,5.0,7.0,,,0.698573,18.420238,1650.698573,,,1.0,2.0,2.0,,,currency_2currency_2currency_2,currency_3currency_2currency_2currency_2currency_2,currency_2currency_1currency_2currency_1currency_1currency_1currency_1currency_2,,
6103,1.0,2.0,,,,500.0,49.884225,,,,1.0,1.0,,,,currency_1,currency_3currency_3,,,
6107,,1.0,1.0,,,,1467.34,5.0,,,,1.0,1.0,,,,currency_1,currency_2,,
6109,1.0,,2.0,,,500.0,,36000.0,,,1.0,,1.0,,,currency_1,,currency_1currency_1currency_1,,
6119,,,2.0,,,,,16000.0,,,,,1.0,,,,,currency_1currency_1currency_1,,
6123,,2.0,2.0,,,,0.039144,165.0,,,,1.0,1.0,,,,currency_2currency_2,currency_1currency_1,,
6127,2.0,9.0,9.0,,,0.9987569999999999,8.131143,12502.127367000001,,,1.0,1.0,2.0,,,currency_2currency_2,currency_2currency_2currency_2currency_2currency_2currency_2currency_2currency_2currency_2currency_2currency_2currency_2currency_2currency_2currency_2currency_2currency_2currency_2currency_2,currency_2currency_2currency_2currency_2currency_2currency_2currency_2currency_1currency_1,,
6137,1.0,2.0,1.0,,,2500.0,0.26180000000000003,2500.0,,,1.0,1.0,1.0,,,currency_1currency_1currency_1currency_1currency_1,currency_2currency_2,currency_1currency_1currency_1currency_1currency_1,,
6145,,,1.0,,,,,20500.0,,,,,1.0,,,,,currency_1,,
6147,,1.0,1.0,,,,10.0,30000.0,,,,1.0,1.0,,,,currency_2,currency_1,,
6149,,,2.0,,,,,64125.04,,,,,1.0,,,,,currency_1currency_1,,
6151,,2.0,11.0,,,,1188.77,3.7425529999999996,,,,1.0,1.0,,,,currency_1currency_1,currency_3currency_3currency_3currency_3currency_3currency_3currency_3currency_3currency_3currency_3currency_3,,
6155,1.0,,1.0,,,1500.0,,3000.0,,,1.0,,1.0,,,currency_1currency_1currency_1,,currency_1currency_1currency_1currency_1currency_1currency_1,,
6163,,1.0,,,,,1.7648439999999999,,,,,1.0,,,,,currency_2,,,
6165,,3.0,,,,,1.338,,,,,1.0,,,,,currency_2currency_2currency_2,,,
6167,,1.0,,,,,8000.0,,,,,1.0,,,,,currency_1,,,
6169,1.0,2.0,3.0,,,0.216966,1138.243614,8000.293287,,,1.0,2.0,2.0,,,currency_2,currency_1currency_2,currency_2currency_2currency_1,,
6173,,1.0,,,,,10.214096000000001,,,,,1.0,,,,,currency_3,,,
6177,,10.0,1.0,,,,38.405161,35000.0,,,,2.0,1.0,,,,currency_3currency_2currency_2currency_2currency_2currency_2currency_3currency_3currency_3currency_2,currency_1,,
6181,3.0,6.0,3.0,,,1.167517,3957.4107999999997,50001.088,,,1.0,2.0,2.0,,,currency_2currency_2currency_2,currency_1currency_2currency_2currency_2currency_2currency_1,currency_2currency_1currency_2,,
6183,1.0,1.0,1.0,,,500.0,132.5,40000.0,,,1.0,1.0,1.0,,,currency_1,currency_3,currency_1,,
6185,,2.0,1.0,,,,3.0,40000.0,,,,1.0,1.0,,,,currency_2currency_2,currency_1,,
6187,6.0,12.0,8.0,,,15.400784,73.27499999999999,18.605895,,,1.0,2.0,1.0,,,currency_2currency_2currency_2currency_2currency_2currency_2,currency_3currency_3currency_3currency_3currency_3currency_2currency_3currency_3currency_2currency_3currency_3currency_2currency_2currency_2currency_3currency_3currency_3currency_2,currency_2currency_2currency_2currency_2currency_2currency_2currency_2currency_2,,
6195,,2.0,,,,,0.15325999999999998,,,,,1.0,,,,,currency_2currency_2,,,
6197,,1.0,3.0,,,,94.0,32.870149999999995,,,,1.0,2.0,,,,currency_3,currency_2currency_3currency_3,,
6199,,1.0,1.0,,,,2.0,20000.0,,,,1.0,1.0,,,,currency_2currency_2,currency_1,,
6201,,2.0,,,,,22.736562,,,,,2.0,,,,,currency_2currency_2currency_3,,,
6203,,2.0,,,,,2999.6055730000003,,,,,2.0,,,,,currency_2currency_1,,,
6205,1.0,,1.0,,,49.998656,,3.759075,,,1.0,,1.0,,,currency_2,,currency_2,,
6217,,,3.0,,,,,0.116868,,,,,1.0,,,,,currency_2currency_2currency_2,,
6219,1.0,4.0,6.0,,,0.057511,2433.615139,1575.584041,,,1.0,2.0,2.0,,,currency_2,currency_2currency_1currency_2currency_1,currency_1currency_2currency_1currency_2currency_2currency_2,,
6225,1.0,1.0,1.0,,,0.028114,0.028114,0.028114,,,1.0,1.0,1.0,,,currency_2,currency_2,currency_2,,
6227,,1.0,,,,,28500.0,,,,,1.0,,,,,currency_1,,,
6231,3.0,,6.0,,,1501.00781,,2034.037622,,,2.0,,3.0,,,currency_1currency_1currency_1currency_2currency_2,,currency_1currency_3currency_1currency_2currency_2currency_1currency_3currency_1currency_3,,
6237,1.0,1.0,,,,2000.0,0.51778,,,,1.0,1.0,,,,currency_1currency_1currency_1currency_1,currency_2,,,
6239,1.0,1.0,2.0,,,500.0,0.047,700.0,,,1.0,1.0,1.0,,,currency_1,currency_2,currency_1currency_1,,
6241,,,1.0,,,,,1000.0,,,,,1.0,,,,,currency_1currency_1,,
6249,,2.0,1.0,,,,11.0,50000.0,,,,1.0,1.0,,,,currency_3currency_3,currency_1currency_1,,
6251,,1.0,,,,,0.01,,,,,1.0,,,,,currency_3,,,
6253,5.0,4.0,8.0,,,1.8776989999999998,11294.77,3.031506,,,1.0,1.0,1.0,,,currency_2currency_2currency_2currency_2currency_2,currency_1currency_1currency_1currency_1,currency_2currency_2currency_2currency_2currency_2currency_2currency_2currency_2,,
6255,3.0,2.0,3.0,,,210.0,100000.1,190.0,,,1.0,2.0,2.0,,,currency_1currency_1currency_1,currency_2currency_1,currency_1currency_1currency_2,,
6261,1.0,1.0,1.0,,,2000.0,0.168877,2500.0,,,1.0,1.0,1.0,,,currency_1currency_1currency_1currency_1,currency_2,currency_1currency_1currency_1currency_1currency_1,,
6265,1.0,2.0,3.0,,,500.0,50.1,25000.33,,,1.0,2.0,2.0,,,currency_1,currency_1currency_2,currency_3currency_1currency_1currency_1,,
