EXCHANGE_ACCOUNT_ID,exposure_count,SENT_INDIRECT_EXPOSURE_SUM,SENT_DIRECT_EXPOSURE_SUM,RECEIVED_INDIRECT_EXPOSURE_SUM,RECEIVED_DIRECT_EXPOSURE_SUM,cluster_category_count,cluster_name_count,cluster_category_category_1,cluster_category_category_2,cluster_category_category_3,cluster_category_category_4,cluster_category_category_5,cluster_category_category_6,cluster_category_category_7,cluster_category_category_8,cluster_category_category_9,cluster_category_category_10,cluster_category_category_11,cluster_category_category_12,cluster_category_category_13,cluster_category_category_14,cluster_category_category_15,SENT_INDIRECT_EXPOSURE_AVG,SENT_DIRECT_EXPOSURE_AVG,RECEIVED_INDIRECT_EXPOSURE_AVG,RECEIVED_DIRECT_EXPOSURE_AVG
5429,29,264903.33,0.0,594789.1900000001,0.0,6,29,21,0,0,0,3,2,1,1,0,0,0,1,0,0,0,9134.597586206897,0.0,20509.97206896552,0.0
5435,53,109368.56999999998,47293.03,224186.94999999998,104279.12,9,53,37,3,1,1,2,2,5,0,0,0,1,1,0,0,0,2063.5579245283016,892.3213207547169,4229.942452830188,1967.5305660377358
5465,79,226137.73,67415.12,371267.29000000004,3557.09,11,79,42,3,3,8,5,3,6,4,2,1,0,2,0,0,0,2862.502911392405,853.3559493670886,4699.585949367089,45.02645569620253
5521,4,166355.38,166355.38,70044.64,30562.25,2,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,41588.845,41588.845,17511.16,7640.5625
5533,3,44514.65,44514.65,89764.68,40858.42,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14838.216666666667,14838.216666666667,29921.559999999998,13619.473333333333
5559,26,124410.73000000001,79240.33,518.39,0.0,3,14,22,2,0,0,0,2,0,0,0,0,0,0,0,0,0,4785.028076923078,3047.705,19.938076923076924,0.0
5561,181,98674.48000000004,2056.43,20.85,0.0,11,123,91,12,5,22,3,6,10,14,13,0,3,0,0,0,2,545.162872928177,11.361491712707181,0.11519337016574586,0.0
5633,9,51.55,0.0,169106.49999999997,0.0,3,9,6,0,0,0,2,0,0,0,0,1,0,0,0,0,0,5.727777777777778,0.0,18789.61111111111,0.0
5671,9,39899.65000000001,38912.67,152331.8,146098.58000000002,6,9,4,1,0,1,0,1,0,1,1,0,0,0,0,0,0,4433.294444444446,4323.63,16925.755555555555,16233.175555555557
5675,78,155902.33,69991.63,6236.45,1945.59,10,78,55,5,2,2,4,3,3,0,2,0,1,1,0,0,0,1998.7478205128205,897.3285897435898,79.95448717948717,24.943461538461538
5681,35,376682.63,294197.57,814302.04,533509.73,6,35,26,2,1,3,2,1,0,0,0,0,0,0,0,0,0,10762.360857142858,8405.644857142857,23265.772571428573,15243.135142857142
5687,1,285.48,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285.48,0.0,0.0,0.0
5695,18,96866.67000000003,69010.45000000001,104075.62999999996,98804.19,7,18,12,1,0,1,1,1,0,1,1,0,0,0,0,0,0,5381.481666666668,3833.9138888888897,5781.979444444442,5489.121666666667
5707,50,76916.87,24498.679999999997,68335.74999999999,61165.85999999999,8,50,36,2,2,1,1,3,3,0,0,0,0,2,0,0,0,1538.3374,489.9735999999999,1366.7149999999997,1223.3172
5749,21,221828.13,0.0,152973.88,0.0,5,21,17,0,1,0,0,1,1,0,0,0,0,1,0,0,0,10563.244285714285,0.0,7284.470476190477,0.0
5751,19,75489.92,70411.99000000002,55819.779999999984,54374.85999999999,5,19,13,2,0,0,0,2,1,0,0,0,0,1,0,0,0,3973.153684210526,3705.894210526317,2937.883157894736,2861.834736842105
5765,62,65091.979999999996,4749.48,26049.750000000007,1746.8,11,62,35,3,2,7,2,3,4,2,2,0,1,1,0,0,0,1049.8706451612902,76.60451612903225,420.15725806451627,28.174193548387095
5773,3,320649.01,287353.14,207950.41,173160.72,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106883.00333333334,95784.38,69316.80333333333,57720.24
5827,8,44497.08,41877.28,36609.3,31773.06,4,8,5,1,0,0,1,0,0,0,0,0,1,0,0,0,0,5562.135,5234.66,4576.1625,3971.6325
5885,8,0.0,0.0,306334.99,0.0,3,8,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.0,0.0,38291.87375,0.0
5897,31,0.0,0.0,58419.4,0.0,7,31,19,1,1,3,1,3,3,0,0,0,0,0,0,0,0,0.0,0.0,1884.4967741935484,0.0
5921,99,106185.14000000003,93373.63,125474.57999999999,2612.82,10,51,56,8,2,9,2,8,4,4,4,0,0,2,0,0,0,1072.577171717172,943.1679797979798,1267.4199999999998,26.392121212121214
5993,92,10636.94,7400.1,107589.94,0.0,7,47,64,2,4,6,8,4,4,0,0,0,0,0,0,0,0,115.61891304347827,80.4358695652174,1169.4558695652174,0.0
6007,111,18030.13,0.0,76673.47999999998,0.0,9,56,68,3,6,16,6,6,2,2,2,0,0,0,0,0,0,162.43360360360361,0.0,690.7520720720719,0.0
6009,17,1675825.81,1574065.8,587313.1,587313.1,5,17,13,1,0,0,0,1,1,0,0,0,0,1,0,0,0,98577.98882352942,92592.10588235295,34547.8294117647,34547.8294117647
6021,8,58656.020000000004,56996.630000000005,0.0,0.0,3,8,6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7332.0025000000005,7124.578750000001,0.0,0.0
6033,13,114693.92000000001,113150.85,150757.96,0.0,3,13,11,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8822.609230769232,8703.91153846154,11596.766153846153,0.0
6039,9,1354583.5699999998,1340023.3699999999,1579619.65,1552611.5099999998,2,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,150509.28555555554,148891.48555555556,175513.29444444444,172512.38999999998
6041,145,162845.99000000005,25923.17,33722.18,14904.82,9,73,93,10,4,12,0,6,6,8,4,0,2,0,0,0,0,1123.0757931034486,178.78048275862068,232.56675862068965,102.79186206896551
6047,18,114407.73,103749.39,422084.28999999986,372762.58,2,9,16,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6355.985,5763.855,23449.127222222214,20709.032222222224
6069,147,949325.1599999998,608983.35,989770.5200000003,669336.4700000001,11,76,96,7,4,8,8,6,6,2,6,0,2,2,0,0,0,6457.994285714284,4142.74387755102,6733.132789115648,4553.309319727891
6071,11,54588.4,23620.81,90662.40999999999,90662.40999999999,2,11,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4962.581818181819,2147.3463636363635,8242.037272727272,8242.037272727272
6097,61,485557.92000000004,365548.55,502117.56000000006,324558.01999999996,10,61,38,4,1,2,3,3,3,3,3,0,0,1,0,0,0,7959.965901639345,5992.599180327868,8231.435409836067,5320.623278688524
6137,424,306473.24,2943.59,1344039.5399999989,624814.64,12,213,251,16,10,18,24,8,39,18,20,0,10,6,0,4,0,722.8142452830189,6.942429245283019,3169.9045754716954,1473.619433962264
6143,8,168230.58000000002,139201.37,685.45,685.45,1,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21028.822500000002,17400.17125,85.68125,85.68125
6157,4,491.90999999999997,0.0,161782.44,23940.42,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.97749999999999,0.0,40445.61,5985.105
6159,7,164103.07,114875.18000000001,61352.71,0.0,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23443.295714285716,16410.74,8764.672857142858,0.0
6183,7,941172.3999999999,783037.1799999999,711662.81,516918.54,3,7,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,134453.19999999998,111862.45428571428,101666.11571428573,73845.50571428571
6203,7,105882.84000000001,57967.27,43442.39000000001,10422.55,3,6,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,15126.12,8281.038571428571,6206.055714285715,1488.935714285714
6225,84,110714.65999999999,19323.469999999998,202484.98,79311.99,12,84,52,5,3,7,3,3,5,1,1,1,2,1,0,0,0,1318.0316666666665,230.0413095238095,2410.5354761904764,944.1903571428572
6251,6,920095.9299999999,796045.1199999999,941829.87,834624.15,3,6,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,153349.32166666666,132674.18666666665,156971.645,139104.025
6269,21,170428.52,137656.51,202300.07,103198.81,5,21,14,3,0,0,2,1,0,0,1,0,0,0,0,0,0,8115.643809523809,6555.071904761905,9633.336666666666,4914.229047619047
6285,60,118477.15999999997,80393.95999999999,80958.97,16865.0,10,60,35,2,4,0,5,2,3,5,2,0,1,1,0,0,0,1974.6193333333329,1339.8993333333333,1349.3161666666667,281.0833333333333
6287,17,521189.34,326725.66000000003,1536.16,0.0,4,17,11,2,0,0,3,0,1,0,0,0,0,0,0,0,0,30658.19647058824,19219.156470588237,90.36235294117648,0.0
6291,92,31715.8,6399.18,246125.46000000002,97138.06,11,58,63,5,2,1,4,3,6,3,2,0,1,2,0,0,0,344.7369565217391,69.55630434782609,2675.276739130435,1055.8484782608696
6333,88,203161.39999999994,162409.51999999996,179867.72000000003,66388.44,10,47,49,4,2,10,4,6,4,6,0,2,1,0,0,0,0,2308.652272727272,1845.5627272727268,2043.951363636364,754.414090909091
6349,111,6849.08,0.0,107540.37000000001,13.7,12,111,69,4,2,5,4,3,7,6,6,1,1,0,0,3,0,61.70342342342342,0.0,968.8321621621623,0.12342342342342341
6363,20,29365.58,7698.5,0.0,0.0,5,19,15,1,0,0,1,2,0,1,0,0,0,0,0,0,0,1468.279,384.925,0.0,0.0
6367,113,151414.46000000002,33758.0,180484.24999999994,63766.78,12,113,70,4,2,10,4,3,7,4,4,1,3,1,0,0,0,1339.9509734513276,298.7433628318584,1597.205752212389,564.3077876106195
6371,31,124944.38000000002,122616.33,103164.15000000002,88760.95,7,30,23,1,1,0,0,1,1,0,0,0,1,3,0,0,0,4030.4638709677424,3955.3654838709676,3327.8758064516137,2863.256451612903
6385,2,188506.64,188506.64,0.0,0.0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94253.32,94253.32,0.0,0.0
6423,11,94988.51,0.0,74995.80999999998,0.0,2,11,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8635.31909090909,0.0,6817.800909090907,0.0
6449,3,64543.88,64543.88,34865.95,34865.95,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21514.626666666667,21514.626666666667,11621.983333333332,11621.983333333332
6455,43,98228.91999999995,88102.35999999999,178262.52000000002,128490.08,9,43,28,3,1,1,2,3,3,1,0,0,0,1,0,0,0,2284.393488372092,2048.8920930232557,4145.64,2988.1413953488372
6457,63,8644.89,2337.86,15057.620000000004,4338.95,9,32,40,5,0,2,4,4,2,2,2,0,0,2,0,0,0,137.22047619047618,37.10888888888889,239.00984126984133,68.87222222222222
6485,99,0.0,0.0,1360335.6700000004,102405.56,12,99,57,4,4,7,10,4,7,2,1,0,1,1,0,1,0,0.0,0.0,13740.764343434348,1034.399595959596
6525,72,49359.689999999995,32038.86,34823.17,21290.04,7,36,50,4,4,4,4,4,0,0,2,0,0,0,0,0,0,685.55125,444.9841666666667,483.65513888888887,295.695
6535,29,103344.06,66758.67,14049.660000000005,0.0,7,29,20,2,1,1,1,2,2,0,0,0,0,0,0,0,0,3563.5882758620687,2302.023103448276,484.4710344827588,0.0
6563,11,373256.77999999997,278896.4,44228.840000000004,0.0,2,11,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,33932.43454545454,25354.218181818185,4020.8036363636365,0.0
6583,22,0.0,0.0,147530.93999999997,0.0,8,22,10,1,0,2,4,1,2,1,0,0,1,0,0,0,0,0.0,0.0,6705.951818181817,0.0
6587,289,59573.85,0.0,2112372.649999999,55820.380000000005,12,155,171,12,10,16,28,6,12,14,4,2,12,2,0,0,0,206.1378892733564,0.0,7309.247923875429,193.1501038062284
6613,27,73356.42,19336.0,122016.6,23985.739999999998,4,15,21,0,0,0,2,2,0,0,0,0,2,0,0,0,0,2716.9044444444444,716.1481481481482,4519.133333333333,888.3607407407407
6623,282,1092036.4899999998,148870.68000000002,2705045.6500000004,602440.8200000001,13,148,145,11,3,27,29,3,10,26,6,2,10,6,0,4,0,3872.4698226950345,527.9102127659576,9592.36046099291,2136.314964539007
6639,67,298550.61,157377.15000000002,258706.42,200824.72000000003,10,35,43,4,2,2,6,2,2,2,0,0,2,2,0,0,0,4455.979253731343,2348.9126865671647,3861.2898507462687,2997.3838805970154
6661,6,165785.63,125301.82999999999,30057.67,14251.61,2,6,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27630.938333333335,20883.638333333332,5009.611666666667,2375.2683333333334
6673,40,2091391.5199999998,1152577.78,3416005.9699999997,2624013.23,8,40,27,3,1,2,0,2,2,1,2,0,0,0,0,0,0,52284.78799999999,28814.4445,85400.14924999999,65600.33075
6675,39,114912.6,85671.68,205622.54,151877.77,8,39,28,2,1,2,2,2,1,0,0,0,1,0,0,0,0,2946.4769230769234,2196.7097435897435,5272.372820512821,3894.3017948717948
6685,36,31578.24,12415.52,85724.7,34168.65,7,36,27,1,1,0,0,2,2,2,0,0,1,0,0,0,0,877.1733333333334,344.8755555555556,2381.241666666667,949.1291666666667
6693,16,7670.25,0.0,83987.83000000002,21392.0,5,16,12,1,0,0,1,1,1,0,0,0,0,0,0,0,0,479.390625,0.0,5249.239375000001,1337.0
6703,204,1417077.1000000006,1054852.1899999997,545631.5899999999,375338.86000000004,11,103,126,10,4,11,8,8,14,18,2,0,1,2,0,0,0,6946.4563725490225,5170.84406862745,2674.6646568627443,1839.8963725490198
6749,21,292429.17000000004,161314.69999999998,439490.83999999997,263629.64,4,21,13,0,0,0,4,0,3,0,0,0,0,1,0,0,0,13925.198571428573,7681.652380952381,20928.135238095238,12553.792380952382
6787,67,525425.47,506441.18000000005,625637.3400000001,542763.4800000001,9,34,38,5,0,4,6,6,2,0,2,2,0,2,0,0,0,7842.17119402985,7558.823582089553,9337.870746268658,8100.9474626865685
6803,118,85738.21999999999,38139.6,224993.62000000005,101170.15000000001,10,62,79,8,6,2,8,5,4,0,2,2,0,2,0,0,0,726.5950847457626,323.2169491525424,1906.7255932203395,857.3741525423729
6805,25,3694.62,0.0,738218.87,155710.21000000002,7,25,16,1,0,1,1,2,0,3,1,0,0,0,0,0,0,147.7848,0.0,29528.7548,6228.408400000001
6911,3,4548.5,4548.5,141714.3,28282.23,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1516.1666666666667,1516.1666666666667,47238.1,9427.41
6923,13,68557.91,65803.97,14517.22,10290.07,2,13,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5273.6853846153845,5061.843846153846,1116.7092307692308,791.5438461538462
6927,2,197577.0,48707.26,0.0,0.0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98788.5,24353.63,0.0,0.0
6939,12,252473.38,251879.63999999998,577921.62,550058.5599999999,2,12,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21039.448333333334,20989.969999999998,48160.135,45838.213333333326
6967,172,270183.6,194579.23,167626.49999999994,50308.83,12,88,99,11,8,10,4,8,10,6,4,2,6,4,0,0,0,1570.83488372093,1131.2745930232559,974.5726744186043,292.49319767441864
6985,50,390284.85,9273.72,448065.4600000001,11912.64,9,50,40,2,1,1,1,2,1,1,0,0,0,1,0,0,0,7805.696999999999,185.47439999999997,8961.309200000002,238.25279999999998
7001,5,51158.03999999999,51158.03999999999,84279.50000000001,80081.8,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10231.607999999998,10231.607999999998,16855.9,16016.36
7049,6,130099.75,110840.81,45683.880000000005,45683.880000000005,2,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21683.291666666668,18473.468333333334,7613.9800000000005,7613.9800000000005
7053,11,1335453.4300000002,1009539.4200000002,436327.17000000004,54321.52,3,11,9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,121404.85727272728,91776.31090909093,39666.10636363637,4938.32
7065,13,56330.22000000001,45947.28,18455.68,0.0,6,13,8,0,0,0,1,1,1,0,1,0,0,1,0,0,0,4333.093846153847,3534.4061538461538,1419.6676923076923,0.0
7087,19,227701.90999999997,227413.25999999998,112229.44,86570.67,4,19,16,1,0,1,0,0,1,0,0,0,0,0,0,0,0,11984.311052631578,11969.11894736842,5906.812631578948,4556.351052631579
7105,13,125153.80000000002,114202.41,63087.409999999996,38351.37,4,13,9,1,0,0,2,0,1,0,0,0,0,0,0,0,0,9627.215384615385,8784.80076923077,4852.877692307692,2950.105384615385
7149,83,267070.94000000006,8826.4,120511.98,71935.63,11,83,51,4,3,5,1,4,4,7,2,0,1,1,0,0,0,3217.7221686746993,106.3421686746988,1451.9515662650601,866.6943373493976
7151,4,34857.96,34849.659999999996,0.0,0.0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8714.49,8712.414999999999,0.0,0.0
7215,11,125320.78000000001,124420.96,190688.19,186341.07,4,11,8,0,0,0,0,1,1,1,0,0,0,0,0,0,0,11392.798181818183,11310.996363636365,17335.29,16940.097272727275
7217,37,156552.2,142005.06,9732.09,9651.25,9,37,21,4,2,1,1,3,2,2,1,0,0,0,0,0,0,4231.140540540541,3837.9745945945947,263.0294594594595,260.8445945945946
7229,10,94237.46999999999,66069.26,98003.89999999998,80142.84999999999,3,10,7,1,0,2,0,0,0,0,0,0,0,0,0,0,0,9423.747,6606.9259999999995,9800.389999999998,8014.284999999999
7231,31,350927.25000000006,193854.22,469711.02999999997,432287.54,7,16,15,4,0,2,2,2,4,2,0,0,0,0,0,0,0,11320.233870967744,6253.361935483871,15151.968709677418,13944.759354838709
7251,10,98359.16,98348.13,291876.02999999997,274709.08,2,10,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9835.916000000001,9834.813,29187.602999999996,27470.908000000003
7261,31,108040.16,38169.25,43480.530000000006,36448.41,6,31,23,2,2,0,0,2,1,0,0,0,0,1,0,0,0,3485.1664516129035,1231.266129032258,1402.597741935484,1175.7551612903228
7263,30,191130.23000000004,0.0,0.0,0.0,7,19,12,5,1,1,0,6,3,2,0,0,0,0,0,0,0,6371.007666666668,0.0,0.0,0.0
7311,45,356890.7900000001,292529.21,239295.48,144990.93000000002,7,45,35,2,0,0,1,4,1,1,0,0,0,1,0,0,0,7930.906444444447,6500.649111111112,5317.677333333334,3222.0206666666672
7317,8,50658.31,31036.48,7080.84,591.54,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6332.28875,3879.56,885.105,73.9425
7321,26,63151.6,44709.57,102525.87,6329.41,4,15,20,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2428.9076923076923,1719.5988461538461,3943.3026923076923,243.43884615384616
7347,14,89807.83,23849.51,83617.06,2602.75,3,14,11,0,0,0,0,0,2,0,0,0,0,1,0,0,0,6414.845,1703.5364285714284,5972.647142857143,185.91071428571428
7353,63,9889.649999999998,0.0,50691.029999999984,0.0,11,63,30,5,1,4,1,3,5,7,3,0,2,0,2,0,0,156.9785714285714,0.0,804.6195238095236,0.0
7361,38,243062.2,234734.92,189824.75999999998,0.0,7,38,28,1,1,0,3,1,3,1,0,0,0,0,0,0,0,6396.373684210526,6177.234736842106,4995.388421052631,0.0
7363,38,107924.95999999999,94696.37999999999,206275.74999999997,139540.61,9,38,24,1,1,3,2,1,4,0,1,0,1,0,0,0,0,2840.130526315789,2492.0099999999998,5428.309210526315,3672.121315789473
7375,36,21358.889999999996,17786.2,104347.82,81014.90000000001,10,36,20,3,1,3,1,3,2,0,1,0,1,0,1,0,0,593.3024999999999,494.06111111111113,2898.5505555555555,2250.4138888888892
7391,95,32468.639999999996,4370.25,99246.91999999997,43962.549999999996,9,49,54,8,0,6,4,6,6,7,2,0,2,0,0,0,0,341.7751578947368,46.002631578947366,1044.7044210526312,462.76368421052626
7403,61,1919844.9800000002,473685.05,29045.17,29045.17,11,61,40,3,2,2,2,3,1,4,2,0,1,1,0,0,0,31472.86852459017,7765.32868852459,476.15032786885246,476.15032786885246
7413,46,25778.07,2941.3599999999997,330469.33999999997,0.0,7,30,29,6,2,0,4,2,1,0,0,2,0,0,0,0,0,560.3928260869565,63.94260869565217,7184.116086956521,0.0
7425,23,1639418.25,1485819.1900000002,942690.0199999999,942672.3999999999,4,23,17,2,0,0,1,3,0,0,0,0,0,0,0,0,0,71279.05434782608,64600.834347826094,40986.522608695646,40985.756521739124
7437,13,86095.8,71073.11,80836.03000000001,47069.02,2,13,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6622.753846153846,5467.162307692308,6218.156153846155,3620.6938461538457
7443,14,12497.08,0.0,58706.06,4079.08,7,14,8,1,0,0,1,1,1,1,1,0,0,0,0,0,0,892.6485714285715,0.0,4193.29,291.36285714285714
7455,3,591347.56,591347.56,316616.37,230699.64,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197115.85333333336,197115.85333333336,105538.79,76899.88
7485,21,639642.95,601392.97,13796.95,13796.95,4,21,18,1,0,0,1,1,0,0,0,0,0,0,0,0,0,30459.188095238093,28637.760476190473,656.9976190476191,656.9976190476191
7497,5,343062.26,343062.26,1108276.5599999998,1102821.42,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68612.452,68612.452,221655.31199999998,220564.28399999999
7521,66,71823.3,5624.2,419218.28,23676.450000000004,10,66,42,3,1,11,2,3,1,0,1,0,1,1,0,0,0,1088.2318181818182,85.21515151515152,6351.792121212122,358.734090909091
7569,12,202027.25000000003,189361.24,233701.16,228361.62,3,12,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,16835.604166666668,15780.103333333333,19475.096666666668,19030.135
7573,13,96090.48000000001,94740.18000000001,336556.25,91365.81000000001,3,9,8,0,0,4,0,0,0,1,0,0,0,0,0,0,0,7391.575384615386,7287.706153846155,25888.94230769231,7028.139230769231
7577,141,138837.19,39562.740000000005,155664.72999999998,13247.5,12,141,97,5,3,5,9,4,6,2,3,1,2,4,0,0,0,984.6609219858157,280.5868085106383,1104.0051773049645,93.95390070921985
7597,131,17980.059999999998,17901.19,287929.71,10104.11,11,73,83,1,3,8,3,6,12,8,2,0,0,2,0,3,0,137.25236641221372,136.65030534351143,2197.936717557252,77.13061068702291
7605,87,40885.63,14053.95,53641.91000000001,6921.55,12,74,54,4,2,7,5,3,6,2,1,1,1,1,0,0,0,469.9497701149425,161.5396551724138,616.5736781609197,79.5580459770115
7635,9,0.0,0.0,1419453.6900000002,0.0,3,9,6,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0.0,0.0,157717.0766666667,0.0
7647,11,100827.59999999998,80052.53,294332.89,271376.23,3,11,7,0,0,0,3,1,0,0,0,0,0,0,0,0,0,9166.145454545453,7277.5027272727275,26757.535454545457,24670.56636363636
7739,149,98903.00000000001,10418.070000000002,94501.38999999997,0.0,12,77,88,12,3,4,7,8,10,6,2,2,4,3,0,0,0,663.778523489933,69.91993288590605,634.2375167785233,0.0
7799,22,175156.04999999996,171120.81,88417.09,87353.04999999999,5,22,16,3,1,0,0,1,0,0,1,0,0,0,0,0,0,7961.638636363635,7778.2186363636365,4018.9586363636363,3970.593181818181
7831,28,83627.16,24879.87,290646.59,77853.48999999999,3,28,25,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2986.684285714286,888.5667857142856,10380.235357142858,2780.4817857142853
7849,9,5746.51,5569.41,7327.049999999999,5017.85,3,9,7,0,0,0,1,0,0,0,0,0,1,0,0,0,0,638.5011111111112,618.8233333333333,814.1166666666666,557.5388888888889
7873,41,80291.88999999997,76034.93,45587.610000000015,6010.65,8,41,25,3,2,0,3,3,2,2,0,0,0,1,0,0,0,1958.3387804878041,1854.5104878048778,1111.8929268292686,146.60121951219512
7895,21,91639.66999999997,79817.43999999999,43056.29000000001,34422.61,7,21,14,1,0,0,0,2,1,1,1,0,0,1,0,0,0,4363.793809523808,3800.8304761904756,2050.299523809524,1639.171904761905
7907,32,155402.02,155386.8,364880.02999999997,260052.82,3,17,25,0,0,0,3,0,4,0,0,0,0,0,0,0,0,4856.313125,4855.8375,11402.500937499999,8126.650625
7933,75,98619.03000000004,3977.2000000000003,4953.680000000001,1813.21,11,75,38,5,3,3,2,3,4,8,5,1,0,3,0,0,0,1314.9204000000007,53.029333333333334,66.04906666666669,24.176133333333333
7939,3,403768.54,394097.44,171973.24,171973.24,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,134589.51333333334,131365.81333333332,57324.41333333333,57324.41333333333
7967,8,388107.6500000001,379569.94000000006,32716.56,12001.86,1,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48513.45625000001,47446.24250000001,4089.57,1500.2325
7987,8,73519.64,9976.810000000001,98420.87999999999,0.0,3,8,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9189.955,1247.1012500000002,12302.609999999999,0.0
7999,212,435531.7600000001,116961.72,1731971.59,3665.61,12,107,124,14,6,15,8,8,10,12,4,2,3,6,0,0,0,2054.395094339623,551.7062264150943,8169.6773113207555,17.29061320754717
8027,49,0.0,0.0,194731.94000000006,20940.81,10,49,28,1,3,1,5,2,5,1,2,0,0,1,0,0,0,0.0,0.0,3974.121224489797,427.3634693877551
8053,37,56673.61,1265.19,92475.14,2605.38,8,37,27,1,0,1,3,2,0,1,1,1,0,0,0,0,0,1531.7191891891891,34.19432432432433,2499.328108108108,70.41567567567567
